timestamp,ax,ay,az,gx,gy,gz,lin_ax,lin_ay,lin_az,grav_x,grav_y,grav_z,speed,lat,lon,prob_none,prob_pothole,prob_speedbump
1782141439716,-0.31500003,9.330001,4.3710003,0.171325,-0.174625,0.1720125,-0.029563963,0.272233,0.6232352,-0.28548196,9.058911,3.7449992,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439729,-0.31305,9.33195,4.40595,0.1989625,-0.18425,0.177375,-0.09559938,0.32594395,0.67683244,-0.2621259,9.06516,3.7315662,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439737,-0.342,9.366,4.3969502,0.3064875,-0.2033625,0.18259999,-0.11544107,0.28616524,0.69888973,-0.2509145,9.068304,3.7246876,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439746,-0.23895001,9.265051,4.4760003,0.3906375,-0.189475,0.2061125,-0.025286809,0.18079185,0.7880485,-0.2136632,9.084259,3.6879518,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439770,-0.186,9.21,4.40595,0.5831375,-0.190575,0.23155,-0.37964487,0.002114296,0.42378545,-0.16335517,9.114886,3.6142147,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439777,-0.70305,9.265051,3.9439502,0.60665,-0.18425,0.2380125,-0.55876374,0.13047695,0.37896228,-0.1442863,9.134574,3.564988,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439795,-0.65805006,9.438001,3.6739502,0.6491375,-0.174625,0.2454375,-0.4135854,0.28997803,0.08934593,-0.13430034,9.145569,3.5370765,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439802,-0.22695,9.366,3.2760003,0.6683875,-0.2256375,0.23155,-0.1396429,0.17223263,-0.13536477,-0.1001251,9.181253,3.4445536,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439812,-0.006,9.213,3.11295,0.6556,-0.198,0.19965,0.04393746,-0.016768456,-0.20054722,-0.07456541,9.206725,3.376544,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439818,0.12195001,9.129001,2.97705,0.644875,-0.1788875,0.18053749,0.04393746,-0.016768456,-0.20054722,-0.04850158,9.230649,3.3110664,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439828,0.24195,9.094951,2.6800501,0.628925,-0.175725,0.1645875,0.38590986,-0.10628986,-0.9525349,-0.04850158,9.230649,3.3110664,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439838,0.50295,9.427951,1.7770501,0.5247,-0.1436875,0.128425,0.5023103,0.14842224,-1.3948141,-0.0034016252,9.275341,3.1840878,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439847,0.53595,9.555,1.8769501,0.383075,-0.0044,0.14533749,0.5089933,0.25106144,-1.2224678,0.013695056,9.292243,3.1343958,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439858,0.21795002,9.61695,2.4379501,0.17985,0.0297,0.1571625,0.17186806,0.29782104,-0.61526084,0.03791297,9.31297,3.0720582,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439869,-0.19995001,9.58905,3.0010502,0.139425,-1.375E-4,0.160325,-0.25755727,0.26335144,-0.03183937,0.057607263,9.325699,3.0328896,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439877,-0.43695003,9.4470005,3.4339502,0.106425,-0.0543125,0.1890625,-0.50501144,0.11922455,0.40767217,0.06253858,9.327071,3.0285676,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439895,-0.37500003,9.306001,3.63,0.0968,-0.1203125,0.241175,-0.3507412,-0.06414223,0.59531665,0.075419396,9.327886,3.0257676,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
